100 MILE HOUSE, BC = 51.643970 -121.295010
BEACONSFIELD, QC = 45.430931 -73.868283
BEAMSVILLE, ON = 43.157095 -79.476013
BEAR CANYON, AB = 56.216284 -119.819115
BEAR COVE, NS = 44.537260 -63.545659
BEAR ISLAND, NB = 45.921725 -67.026282
BEAR ISLAND, ON = 46.980668 -80.068974
BEAR LAKE, BC = 54.492974 -122.683060
BEAR RIVER, NS = 44.572535 -65.641954
BEARDMORE, ON = 49.600000 -87.950000
BEARDSLEY, NB = 46.123072 -67.616475
BEARN, QC = 47.293168 -79.329603
BEARSKIN LAKE, ON = 53.913244 -90.953380
BEATTY, SK = 52.900127 -104.809454
BEAUBIER, SK = 49.127485 -104.076296
BEAUCANTON, QC = 49.039337 -79.239488
BEAUCEVILLE, QC = 46.224514 -70.783659
BEAUHARNOIS, QC = 45.315082 -73.877903
BEAULAC-GARTHBY, QC = 45.833360 -71.385934
BEAUMONT, AB = 53.352426 -113.415373
BEAUMONT, NL = 49.618979 -55.684387
BEAUMONT, QC = 46.829489 -71.027959
BEAUPRE, QC = 47.048736 -70.887625
BEAUSEJOUR, MB = 50.061728 -96.515852
BEAUVAL, SK = 55.152180 -107.607293
BEAUVALLON, AB = 53.658068 -111.372268
BEAVER BANK, NS = 44.867930 -63.707184
BEAVER BROOK, NS = 45.311782 -63.417340
BEAVER COVE, NS = 46.065252 -60.566106
BEAVER CREEK, SK = 39.604286 -106.516711
BEAVER CREEK, YT = 62.383753 -140.875303
BEAVER DAM, NB = 45.798539 -66.697623
BEAVER HARBOUR, NB = 45.073278 -66.742642
BEAVERBROOK ALBERT CO, NB = 45.698845 -64.790882
BEAVERBROOK, NB = 45.698845 -64.790882
BEAVERDELL, BC = 49.434206 -119.088297
BEAVERLODGE, AB = 55.213974 -119.423302
BEAVERTON, ON = 44.429370 -79.153470
BECANCOUR, QC = 46.350622 -72.435055
BECKIM SETTLEMENT, NB = 46.316667 -67.716667
BEDELL, NB = 46.133333 -67.650000
BEDEQUE, PE = 46.336776 -63.724720
BEDFORD, NS = 45.121111 -72.987447
BEDFORD, QC = 45.121111 -72.987447
BEECHMONT, NS = 46.107675 -60.340891
BEECHVILLE, NS = 44.636088 -63.682103
BEECHWOOD, NB = 46.543195 -67.660206
BEECHY, SK = 50.877454 -107.383560
BEERSVILLE, NB = 46.443662 -65.073902
BEETON, ON = 44.079162 -79.784315
BEGIN, QC = 48.675746 -71.361361
BEHCHOKO, NT = 62.823015 -115.988308
BEISEKER, AB = 51.385029 -113.535263
BELAIR, MB = 50.606659 -96.552413
BELCARRA, BC = 49.314802 -122.925513
BELCOURT, QC = 48.393031 -77.433839
BELFAST, PE = 46.079401 -62.878481
BELFOUNTAIN, ON = 43.794110 -80.014198
BELGRAVE, ON = 43.815208 -81.368508
BELL ISLAND FRONT, NL = 47.631389 -52.936111
BELL ISLAND, NL = 47.626228 -52.967701
BELLA BELLA, BC = 52.160542 -128.145579
BELLA COOLA, BC = 52.372128 -126.753935
BELLBURNS, NL = 50.335154 -57.532397
BELLE COTE, NS = 46.444432 -61.092484
BELLE EWART, ON = 44.272891 -79.542376
BELLE PLAINE, SK = 50.393235 -105.155623
BELLE RIVER, ON = 42.293223 -82.711716
BELLE RIVER, PE = 45.982218 -62.831029
BELLE VALLEE, ON = 47.653052 -79.592104
BELLECOMBE, QC = 48.011085 -78.871667
BELLEDUNE, NB = 47.885949 -65.811478
BELLEFOND, NB = 47.116022 -65.647004
BELLEGARDE, SK = 49.533464 -101.553278
BELLEISLE CREEK, NB = 45.719038 -65.750706
BELLEORAM, NL = 47.526750 -55.414973
BELLETERRE, QC = 47.390926 -78.703283
BELLEVIEW, MB = 49.606498 -100.860777
BELLEVILLE, NB = 46.203288 -67.701534
BELLEVILLE, ON = 44.162759 -77.383231
BELLEVUE, AB = 49.581970 -114.366039
BELLEVUE, NL = 47.629631 -53.733395
BELLIS, AB = 54.145854 -112.151108
BELLIVEAU COVE, NS = 44.386563 -66.061361
BELMONT, MB = 37.528400 -122.270870
BELMONT, NS = 45.426260 -63.386329
BELMONT, ON = 37.520215 -122.275801
BELNAN, NS = 44.994901 -63.526894
BELOEIL, QC = 45.567925 -73.203947
BELWOOD, ON = 43.794106 -80.322530
BEN EOIN, NS = 45.974029 -60.433980
BENACADIE, NS = 45.933195 -60.713943
BENALTO, AB = 52.305805 -114.275356
BENGOUGH, SK = 49.396806 -105.127933
BENITO, MB = 51.913938 -101.547909
BENJAMIN RIVER, NB = 47.959663 -66.165003
BENOIT, NB = 47.486477 -64.961039
BENOITS COVE, NL = 49.009517 -58.131688
BENSON, SK = 49.461769 -103.009219
BENTLEY, AB = 52.465178 -114.050048
BENTON, NB = 45.987071 -67.608936
BENTON, NL = 48.901416 -54.413535
BERENS RIVER, MB = 52.353035 -97.002605
BERESFORD, NB = 47.701474 -65.700718
BERKELEY, ON = 37.871593 -122.272747
BERRY MILLS, NB = 46.109954 -64.939058
BERRY, QC = 48.837902 -78.315613
BERRYTON, NB = 45.883333 -64.883333
BERTHIER-SUR-MER, QC = 46.926031 -70.730962
BERTHIERVILLE, QC = 46.083474 -73.184759
BERTRAND, NB = 47.757340 -65.065914
BERWICK, NB = 45.778461 -65.595984
BERWICK, NS = 45.045233 -64.734689
BERWICK, ON = 45.045233 -64.734689
BERWYN, AB = 56.145801 -117.733704
BETHANIE, QC = 45.511601 -72.427220
BETHANY, MB = 50.314154 -99.752683
BETHANY, ON = 34.200388 -118.882028
BETHEL, NB = 45.158682 -66.915682
BETHUNE, SK = 50.710118 -105.205449
BETSIAMITES, QC = 48.940766 -68.642315
BETTSBURG, NB = 46.459862 -66.261068
BEULAH, MB = 50.260013 -101.035451
BEWDLEY, ON = 44.083107 -78.328418
BEZANSON, AB = 55.229136 -118.357911
BIBLE HILL, NS = 45.380995 -63.251078
BICKERTON WEST, NS = 45.102926 -61.731678
BIDE ARM, NL = 50.816859 -56.100806
BIENCOURT, QC = 47.936031 -68.605584
BIENFAIT, SK = 49.142679 -102.808674
BIG BEACH, NS = 46.010521 -60.676735
BIG BEAVER, SK = 49.098686 -105.166731
BIG BRAS D'OR, NS = 46.266667 -60.433333
BIG COVE QUEENS CO, NB = 45.767223 -65.940217
BIG HOLE, NB = 47.048319 -65.796643
BIG LAKE RANCH, BC = 52.416667 -121.850000
BIG LAKE, NS = 44.524370 -63.861383
BIG POND CENTRE, NS = 45.883333 -60.566667
BIG POND, NS = 45.909319 -60.535201
BIG RIDGE, NS = 45.949831 -60.216570
BIG RIVER, NB = 47.578620 -65.665266
BIG RIVER, SK = 53.833482 -107.031223
BIG STONE, AB = 51.226153 -111.190182
BIG TROUT LAKE, ON = 53.758588 -90.076390
BIG VALLEY, AB = 52.034075 -112.753451
BIGGAR, SK = 52.057145 -107.983556
BINBROOK, ON = 43.120833 -79.804496
BINDLOSS, AB = 50.878624 -110.275445
BINSCARTH, MB = 50.624469 -101.286639
BIRCH GROVE, NS = 46.121568 -59.963470
BIRCH HILL, NS = 45.211775 -63.179845
BIRCH HILLS, SK = 52.982380 -105.432070
BIRCH ISLAND, ON = 46.068211 -81.777690
BIRCH RIDGE, NB = 46.315809 -65.115903
BIRCH RIVER, MB = 52.396111 -101.103889
BIRCHCLIFF, AB = 52.359884 -114.122551
BIRCHY BAY, NL = 49.351575 -54.742958
BIRCHY HEAD, NL = 49.454517 -57.902431
BIRD COVE, NL = 51.052002 -56.930854
BIRDTON, NB = 46.111954 -66.821438
BIRNIE, MB = 50.447203 -99.441183
BIRSAY, SK = 51.095917 -106.981242
BIRTLE, MB = 50.422125 -101.044952
BISCOTASING, ON = 47.299771 -82.103336
BISHOPS FALLS, NL = 49.013887 -55.487801
BISHOPTON, QC = 45.583687 -71.575590
BISSETT CREEK, ON = 46.224265 -78.060479
BISSETT, MB = 51.025965 -95.684089
BITTERN LAKE, AB = 53.004626 -113.058930
BJORKDALE, SK = 52.710750 -103.648740
BLACK BROOK, NS = 46.216667 -60.433333
BLACK CREEK, BC = 49.832962 -125.129371
BLACK DIAMOND, AB = 50.688387 -114.232644
BLACK DUCK COVE, NL = 48.220096 -53.502254
BLACK DUCK SIDING, NL = 48.578292 -58.375677
BLACK LAKE, SK = 59.133634 -105.601123
BLACK POINT, NB = 47.934118 -66.100668
BLACK POINT, NS = 44.651572 -63.981378
BLACK RIVER BRIDGE, NB = 47.011960 -65.254877
BLACK RIVER, NB = 45.266447 -65.785529
BLACK ROCK, NB = 47.750000 -65.233333
BLACK ROCK, NS = 46.300000 -60.383333
BLACK TICKLE, NL = 53.469444 -55.785000
BLACKETTS LAKE, NS = 46.066667 -60.333333
BLACKFALDS, AB = 52.380782 -113.794551
BLACKFOOT, AB = 53.288219 -110.175376
BLACKIE, AB = 50.608538 -113.628796
BLACKLAND RESTIGOUCHE CO, NB = 47.974261 -66.228164
BLACKS HARBOUR, NB = 45.058887 -66.784974
BLACKSTOCK, ON = 34.162556 -119.171247
BLACKVILLE, NB = 46.732771 -65.829786
BLADWORTH, SK = 51.367933 -106.142052
BLAINE LAKE, SK = 52.829726 -106.880179
BLAINVILLE, QC = 45.668896 -73.872875
BLAIR ATHOL, NB = 47.944206 -66.553111
BLAIRMORE, AB = 49.633999 -114.518305
BLAKETOWN, NL = 47.487002 -53.551573
BLANC-SABLON, QC = 51.426445 -57.131315
BLANDFORD, NS = 44.492885 -64.109719
BLENHEIM, ON = 42.338015 -81.999837
BLEZARD VALLEY, ON = 46.608743 -81.052442
BLIND BAY, BC = 50.886273 -119.397706
BLIND BAY, NS = 44.506659 -63.817361
BLIND CHANNEL, BC = 50.412877 -125.503265
BLIND RIVER, ON = 46.184717 -82.953973
BLISSFIELD, NB = 46.587850 -66.050729
BLOCKHOUSE, NS = 44.449155 -64.420226
BLOODVEIN, MB = 51.785107 -96.692310
BLOOMFIELD CARLETON CO, NB = 46.316667 -67.766667
BLOOMFIELD KINGS CO, NB = 45.576586 -65.754504
BLOOMFIELD RIDGE, NB = 45.563524 -65.685769
BLOOMFIELD STATION, PE = 46.774692 -64.230159
BLOOMFIELD, NL = 48.389348 -53.904614
BLOOMFIELD, ON = 38.313355 -122.853684
BLOOMINGDALE, ON = 34.145994 -118.256245
BLOOMSBURY, AB = 54.210318 -114.473839
BLUBBER BAY, BC = 49.794706 -124.623297
BLUE BELL, NB = 46.951225 -67.534684
BLUE MOUNTAIN BEND, NB = 47.100000 -67.266667
BLUE MOUNTAINS, ON = 44.540490 -80.408095
BLUE RIDGE, AB = 54.121206 -115.379791
